num, time, PAT, eSBP, eDBP, iSBP, iDBP
439,317101,193,121.14,48.3148,124.266,47.2421
440,317837,192,122.593,48.696,124.79,51.0021
441,318577,187,129.976,50.6323,131.74,48.7233
442,319319,185,132.984,51.4214,130.829,48.7233
443,320056,196,116.824,47.1828,123.582,48.1536
444,320791,194,119.694,47.9355,123.309,46.9002
445,321528,186,131.476,51.0258,131.763,51.2756
446,322268,189,127,49.8517,129.051,48.3131
447,323002,192,122.593,48.696,125.314,47.8118
448,323733,191,124.054,49.0792,129.325,49.4297
449,324473,186,131.476,51.0258,131.33,48.4043
450,325204,195,118.255,47.5582,126.408,48.3815
451,325935,195,118.255,47.5582,127.046,47.8573
452,326672,189,127,49.8517,133.86,50.797
453,327401,194,119.694,47.9355,127.798,49.293
454,328130,197,115.4,46.8094,125.268,47.0142
455,328859,181,139.101,53.0255,133.153,51.2072
456,329593,193,121.14,48.3148,129.029,48.7233
457,330322,195,118.255,47.5582,125.2,47.0826
458,331050,184,134.501,51.8192,133.472,50.0906
459,331784,191,124.054,49.0792,129.074,48.108
460,332512,192,122.593,48.696,123.263,47.1737
461,333239,183,136.026,52.2191,131.398,48.5182
462,333974,190,125.523,49.4644,129.621,46.9002
463,334700,194,119.694,47.9355,123.719,48.3131
464,335424,184,134.501,51.8192,129.712,47.789
465,336158,188,128.484,50.2409,128.208,46.7179
466,336887,194,119.694,47.9355,123.012,49.7488
467,337615,186,131.476,51.0258,128.117,47.9941
468,338352,187,129.976,50.6323,128.254,47.2193
469,339083,193,121.14,48.3148,123.719,48.3131
470,339812,190,125.523,49.4644,125.884,48.3359
471,340550,190,125.523,49.4644,130.669,48.1308
472,341281,188,128.484,50.2409,123.172,48.1308
473,342011,191,124.054,49.0792,120.825,46.0343
474,342742,177,145.353,54.6654,129.644,50.4096
475,343473,190,125.523,49.4644,125.474,47.7662
476,344200,197,115.4,46.8094,121.987,46.4673
477,344926,190,125.523,49.4644,129.37,50.2729
478,345659,190,125.523,49.4644,127.616,48.1764
479,346384,196,116.824,47.1828,123.035,47.47
480,347107,188,128.484,50.2409,129.006,49.7943
481,347836,186,131.476,51.0258,128.983,48.6777
482,348559,194,119.694,47.9355,124.083,47.9713
483,349279,190,125.523,49.4644,127.752,49.8171
484,350009,187,129.976,50.6323,130.487,49.0423
485,350728,193,121.14,48.3148,126.294,48.9284
486,351447,191,124.054,49.0792,127.023,48.1536
487,352164,181,139.101,53.0255,134.11,52.3466
488,352886,186,131.476,51.0258,131.763,50.045
489,353600,193,121.14,48.3148,126.545,48.7005
490,354307,187,129.976,50.6323,129.894,48.9056
491,355018,189,127,49.8517,131.672,49.4525
492,355725,185,132.984,51.4214,134.589,51.7769
493,356434,182,137.559,52.6212,137.734,50.6375
494,357142,187,129.976,50.6323,131.353,48.8828
495,357846,188,128.484,50.2409,128.892,50.2729
496,358553,183,136.026,52.2191,136.799,50.6147
497,359266,187,129.976,50.6323,135.136,50.3868
498,359970,191,124.054,49.0792,131.649,49.8171
499,360677,187,129.976,50.6323,133.677,53.4632
500,361389,177,145.353,54.6654,139.488,50.911
501,362094,186,131.476,51.0258,133.837,49.9311
502,362795,189,127,49.8517,131.307,56.608
