num, time, PAT, eSBP, eDBP, tSBP, tDBP
646,551059,230,0,0,0,0
647,552061,227,0,0,0,0
648,553073,222,0,0,0,0
649,554094,218,0,0,0,0
650,555067,198,0,0,0,0
651,556026,182,0,0,0,0
652,557003,199,0,0,0,0
653,557964,185,0,0,0,0
654,558886,199,0,0,0,0
655,559824,224,0,0,0,0
656,560772,239,0,0,0,0
657,561678,229,0,0,0,0
658,562615,256,0,0,0,0
659,563526,258,0,0,0,0
660,564382,247,0,0,0,0
661,565216,266,0,0,0,0
662,566012,265,0,0,0,0
663,566833,252,0,0,0,0
664,567693,240,0,0,0,0
665,568594,234,0,0,0,0
666,569501,234,0,0,0,0
667,570385,204,0,0,0,0
668,571230,207,0,0,0,0
669,572066,208,0,0,0,0
670,572888,209,0,0,0,0
671,573673,179,0,0,0,0
672,574460,228,0,0,0,0
673,575295,306,0,0,0,0
674,576258,313,0,0,0,0
675,577208,301,0,0,0,0
676,578179,288,0,0,0,0
677,579140,283,0,0,0,0
678,580060,247,0,0,0,0
679,580986,229,0,0,0,0
680,581911,241,0,0,0,0
681,582839,256,0,0,0,0
682,583753,263,0,0,0,0
683,584687,221,0,0,0,0
684,585616,160,0,0,0,0
685,586541,127,0,0,0,0
686,587445,58,0,0,0,0
687,588356,75,0,0,0,0
688,589227,98,0,0,0,0
689,590067,148,0,0,0,0
690,590897,163,0,0,0,0
691,591746,157,0,0,0,0
692,592608,169,0,0,0,0
693,593476,164,0,0,0,0
694,594351,155,0,0,0,0
695,595165,170,0,0,0,0
696,595989,211,0,0,0,0
697,596863,219,0,0,0,0
698,597886,226,0,0,0,0
699,598900,226,0,0,0,0
700,599868,225,0,0,0,0
701,600790,230,0,0,0,0
702,601729,228,0,0,0,0
703,602660,223,0,0,0,0
704,603568,226,0,0,0,0
705,604426,231,0,0,0,0
706,605252,232,0,0,0,0
707,606069,302,0,0,0,0
708,606768,342,0,0,0,0
709,607255,379,0,0,0,0
710,608953,410,0,0,0,0
711,609715,404,0,0,0,0
712,610495,318,0,0,0,0
713,611261,282,0,0,0,0
714,611976,239,0,0,0,0
715,612320,239,0,0,0,0
716,612676,202,0,0,0,0
717,613393,275,0,0,0,0
718,614111,327,0,0,0,0
719,614835,316,0,0,0,0
720,615567,295,0,0,0,0
721,616305,290,0,0,0,0
722,617031,224,0,0,0,0
723,617750,159,0,0,0,0
724,618115,183,0,0,0,0
725,618464,180,0,0,0,0
726,619172,217,0,0,0,0
727,619882,243,0,0,0,0
728,620594,237,0,0,0,0
729,621310,214,0,0,0,0
730,622032,219,0,0,0,0
731,622770,216,0,0,0,0
732,623533,216,0,0,0,0
733,624328,217,0,0,0,0
734,625151,215,0,0,0,0
735,625998,211,0,0,0,0
736,626829,210,0,0,0,0
737,627655,214,0,0,0,0
738,628449,214,0,0,0,0
739,629206,215,0,0,0,0
740,629978,217,0,0,0,0
741,630866,218,0,0,0,0
742,631869,180,0,0,0,0
743,632865,169,0,0,0,0
744,633800,152,0,0,0,0
745,634386,121,0,0,0,0
746,634694,179,0,0,0,0
747,636362,206,0,0,0,0
748,636813,220,0,0,0,0
749,637164,233,0,0,0,0
750,639445,305,0,0,0,0
751,640262,204,0,0,0,0
752,641127,210,0,0,0,0
753,642004,210,0,0,0,0
754,642880,215,0,0,0,0
755,643739,215,0,0,0,0
756,644575,217,0,0,0,0
757,645386,220,0,0,0,0
758,646186,218,0,0,0,0
759,646969,211,0,0,0,0
760,647759,210,0,0,0,0
761,648563,203,0,0,0,0
762,649384,201,0,0,0,0
763,650267,200,0,0,0,0
764,651210,208,0,0,0,0
765,652120,207,0,0,0,0
766,653023,211,0,0,0,0
767,653924,211,0,0,0,0
768,654818,215,0,0,0,0
769,655734,216,0,0,0,0
770,656628,220,0,0,0,0
771,657524,221,0,0,0,0
772,658139,197,0,0,0,0
773,658433,194,0,0,0,0
774,659346,194,0,0,0,0
775,660286,192,0,0,0,0
776,661212,200,0,0,0,0
777,662107,221,0,0,0,0
778,662976,213,0,0,0,0
779,663595,242,0,0,0,0
780,664648,248,0,0,0,0
781,665075,277,0,0,0,0
782,666082,313,0,0,0,0
783,666636,345,0,0,0,0
784,667244,383,0,0,0,0
785,668222,390,0,0,0,0
786,668535,358,0,0,0,0
787,669599,354,0,0,0,0
788,670293,274,0,0,0,0
789,670924,193,0,0,0,0
790,671710,175,0,0,0,0
791,672419,163,0,0,0,0
792,673146,163,0,0,0,0
793,673855,228,0,0,0,0
794,674599,230,0,0,0,0
795,675362,228,0,0,0,0
796,676157,197,0,0,0,0
797,676980,198,0,0,0,0
798,677802,200,0,0,0,0
799,678572,202,0,0,0,0
800,679367,201,0,0,0,0
801,680197,215,0,0,0,0
802,681094,218,0,0,0,0
803,682029,219,0,0,0,0
804,682960,212,0,0,0,0
805,683905,213,0,0,0,0
806,684811,217,0,0,0,0
807,685677,217,0,0,0,0
808,686562,220,0,0,0,0
809,687499,220,0,0,0,0
810,688510,220,0,0,0,0
811,689474,216,0,0,0,0
812,690459,216,0,0,0,0
813,691446,213,0,0,0,0
814,692423,212,0,0,0,0
815,693382,211,0,0,0,0
816,694327,210,0,0,0,0
817,695231,210,0,0,0,0
818,696111,207,0,0,0,0
819,697026,205,0,0,0,0
820,697910,204,0,0,0,0
821,698876,204,0,0,0,0
822,699888,203,0,0,0,0
823,700929,204,0,0,0,0
824,701959,207,0,0,0,0
825,702941,206,0,0,0,0
826,703886,206,0,0,0,0
827,704842,207,0,0,0,0
828,705813,206,0,0,0,0
829,706788,208,0,0,0,0
830,707710,209,0,0,0,0
831,708575,209,0,0,0,0
832,709450,208,0,0,0,0
833,710367,210,0,0,0,0
834,711331,208,0,0,0,0
835,712295,190,0,0,0,0
